"x","y"
10,0
9.98026728428272,0.627905195293134
9.92114701314478,1.25333233564304
9.82287250728689,1.87381314585725
9.68583161128631,2.48689887164855
9.51056516295153,3.09016994374947
9.29776485888251,3.68124552684678
9.04827052466019,4.25779291565073
8.76306680043864,4.81753674101715
8.44327925502015,5.35826794978997
8.09016994374947,5.87785252292473
7.70513242775789,6.3742398974869
7.28968627421412,6.84547105928689
6.84547105928689,7.28968627421412
6.3742398974869,7.70513242775789
5.87785252292473,8.09016994374947
5.35826794978997,8.44327925502015
4.81753674101715,8.76306680043864
4.25779291565073,9.0482705246602
3.68124552684678,9.29776485888251
3.09016994374947,9.51056516295153
2.48689887164855,9.68583161128631
1.87381314585725,9.82287250728689
1.25333233564304,9.92114701314478
0.627905195293133,9.98026728428272
-1.60812264967664e-15,10
-0.627905195293134,9.98026728428272
-1.25333233564304,9.92114701314478
-1.87381314585725,9.82287250728689
-2.48689887164855,9.68583161128631
-3.09016994374948,9.51056516295153
-3.68124552684678,9.29776485888251
-4.25779291565073,9.04827052466019
-4.81753674101715,8.76306680043863
-5.35826794978997,8.44327925502015
-5.87785252292473,8.09016994374947
-6.3742398974869,7.70513242775789
-6.84547105928689,7.28968627421412
-7.28968627421412,6.84547105928688
-7.70513242775789,6.37423989748689
-8.09016994374947,5.87785252292473
-8.44327925502015,5.35826794978997
-8.76306680043864,4.81753674101715
-9.0482705246602,4.25779291565073
-9.29776485888251,3.68124552684678
-9.51056516295154,3.09016994374947
-9.68583161128631,2.48689887164855
-9.82287250728689,1.87381314585725
-9.92114701314478,1.25333233564304
-9.98026728428272,0.627905195293131
-10,-3.21624529935327e-15
-9.98026728428272,-0.627905195293133
-9.92114701314478,-1.25333233564304
-9.82287250728689,-1.87381314585725
-9.68583161128631,-2.48689887164855
-9.51056516295153,-3.09016994374948
-9.29776485888251,-3.68124552684678
-9.04827052466019,-4.25779291565073
-8.76306680043863,-4.81753674101715
-8.44327925502015,-5.35826794978997
-8.09016994374947,-5.87785252292473
-7.70513242775789,-6.3742398974869
-7.28968627421412,-6.84547105928689
-6.84547105928689,-7.28968627421412
-6.3742398974869,-7.70513242775789
-5.87785252292473,-8.09016994374947
-5.35826794978996,-8.44327925502015
-4.81753674101715,-8.76306680043864
-4.25779291565072,-9.0482705246602
-3.68124552684678,-9.29776485888251
-3.09016994374948,-9.51056516295153
-2.48689887164854,-9.68583161128631
-1.87381314585725,-9.82287250728689
-1.25333233564304,-9.92114701314478
-0.627905195293132,-9.98026728428272
-1.83697019872103e-15,-10
0.627905195293137,-9.98026728428272
1.25333233564304,-9.92114701314478
1.87381314585725,-9.82287250728689
2.48689887164855,-9.68583161128631
3.09016994374947,-9.51056516295154
3.68124552684678,-9.29776485888251
4.25779291565073,-9.0482705246602
4.81753674101716,-8.76306680043863
5.35826794978997,-8.44327925502015
5.87785252292474,-8.09016994374947
6.3742398974869,-7.70513242775789
6.84547105928689,-7.28968627421412
7.28968627421412,-6.84547105928688
7.70513242775789,-6.3742398974869
8.09016994374948,-5.87785252292473
8.44327925502015,-5.35826794978996
8.76306680043864,-4.81753674101715
9.0482705246602,-4.25779291565072
9.29776485888251,-3.68124552684678
9.51056516295154,-3.09016994374947
9.68583161128631,-2.48689887164854
9.82287250728689,-1.87381314585725
9.92114701314478,-1.25333233564304
9.98026728428272,-0.627905195293133
10,-2.44929359829471e-15
